time,position,velocity,error
0.1,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[20.0, 50.0, 10.0]"
0.2,"[1.0, 1.0, 1.0]","[10.0, 10.0, 10.0]","[19.0, 49.0, 9.0]"
0.30000000000000004,"[2.0, 2.0, 1.6]","[10.0, 10.0, 6.0]","[18.0, 48.0, 8.4]"
0.4,"[3.0, 3.0, 2.2600000000000002]","[10.0, 10.0, 6.600000000000001]","[17.0, 47.0, 7.74]"
0.5,"[4.0, 4.0, 2.8360000000000003]","[10.0, 10.0, 5.76]","[16.0, 46.0, 7.164]"
0.6000000000000001,"[5.0, 5.0, 3.3796]","[10.0, 10.0, 5.435999999999998]","[15.0, 45.0, 6.6204]"
0.7000000000000001,"[6.0, 6.0, 3.8785600000000002]","[10.0, 10.0, 4.989600000000001]","[14.0, 44.0, 6.12144]"
0.8,"[7.0, 7.0, 4.341016]","[10.0, 10.0, 4.624559999999999]","[13.0, 43.0, 5.658984]"
0.9,"[8.0, 8.0, 4.7681776]","[10.0, 10.0, 4.271616000000002]","[12.0, 42.0, 5.2318224]"
1.0,"[8.9, 9.0, 5.16321136]","[9.0, 10.0, 3.950337600000001]","[11.1, 41.0, 4.83678864]"
1.1,"[9.74, 10.0, 5.528380096]","[8.399999999999999, 10.0, 3.6516873599999986]","[10.26, 40.0, 4.471619904]"
1.2000000000000002,"[10.514, 11.0, 5.8659914656000005]","[7.74, 10.0, 3.376113695999999]","[9.486, 39.0, 4.1340085343999995]"
1.3,"[11.2304, 12.0, 6.1781089081600005]","[7.164000000000003, 10.0, 3.1211744255999987]","[8.7696, 38.0, 3.8218910918399995]"
1.4000000000000001,"[11.892439999999999, 13.0, 6.466662784576]","[6.6204, 10.0, 2.8855387641599997]","[8.107560000000001, 37.0, 3.533337215424]"
1.5,"[12.504584, 14.0, 6.7334303431936]","[6.121440000000003, 10.0, 2.667675586176001]","[7.4954160000000005, 36.0, 3.2665696568064]"
1.6,"[13.0704824, 15.0, 6.98005704128896]","[5.6589839999999985, 10.0, 2.4662669809536]","[6.9295176000000005, 35.0, 3.01994295871104]"
1.7000000000000002,"[13.59366464, 16.0, 7.208063327731456]","[5.2318224, 10.0, 2.280062864424959]","[6.40633536, 34.0, 2.7919366722685437]"
1.8,"[14.077343504, 17.0, 7.418855109025562]","[4.836788639999998, 10.0, 2.1079178129410554]","[5.922656496, 33.0, 2.5811448909744383]"
1.9000000000000001,"[14.5245054944, 18.0, 7.613732063734774]","[4.471619904000001, 10.0, 1.9487695470921222]","[5.4754945056, 32.0, 2.3862679362652264]"
2.0,"[14.93790634784, 19.0, 7.793895770948533]","[4.134008534400001, 10.0, 1.8016370721375905]","[5.06209365216, 31.0, 2.2061042290514674]"
2.1,"[15.320095457024, 20.0, 7.960457081689552]","[3.8218910918399978, 10.0, 1.6656131074101905]","[4.679904542976001, 30.0, 2.039542918310448]"
2.2,"[15.6734291785664, 21.0, 8.114442980298291]","[3.5333372154240035, 10.0, 1.5398589860873901]","[4.3265708214336005, 29.0, 1.885557019701709]"
2.3000000000000003,"[16.00008614424704, 22.0, 8.25680291268584]","[3.2665696568064, 10.0, 1.423599323875492]","[3.999913855752961, 28.0, 1.7431970873141598]"
2.4000000000000004,"[16.302080440118143, 23.0, 8.388414641700992]","[3.0199429587110433, 10.0, 1.316117290151512]","[3.697919559881857, 27.0, 1.611585358299008]"
2.5,"[16.581274107344996, 24.0, 8.510089658826347]","[2.7919366722685446, 10.0, 1.216750171253553]","[3.4187258926550044, 26.0, 1.489910341173653]"
2.6,"[16.83938859644244, 25.0, 8.622578187806106]","[2.5811448909744463, 10.0, 1.1248852897975876]","[3.16061140355756, 25.0, 1.3774218121938944]"
